day,Backup,Day 8
09/01,1,1
09/02,1,1
09/03,1,1
09/04,1,1
09/05,0,1
09/06,0,1
09/07,0,1
09/08,0,1
09/09,1,1
09/10,1,1
09/11,0,1
09/12,0,1
09/13,0,1
09/14,0,1
09/15,0,1
09/16,0,1
09/17,0,1
09/18,0,1
09/19,0,1
09/20,0,1
09/21,0,1
09/22,1,1
09/23,0,1
09/24,0,1
09/25,0,1
09/26,0,1
09/27,0,1
09/28,1,0
09/29,1,1
09/30,1,1
10/01,0,1
10/02,0,1
10/03,0,1
10/04,0,1
10/05,0,1
10/06,0,1
10/07,0,1
10/08,0,1
10/09,0,1
10/10,0,1
10/11,1,1
10/12,1,1
10/13,1,1
10/14,1,1
10/15,0,1
10/16,1,1
10/17,1,1
10/18,1,1
10/19,1,1
10/20,1,1
10/21,0,1
10/22,0,1
10/23,0,1
10/24,0,1
10/25,0,1
10/26,0,1
10/27,0,1
10/28,0,1
10/29,0,1
10/30,0,1
10/31,0,1
11/01,0,1
11/02,0,1
11/03,0,1
11/04,0,1
11/05,1,1
11/06,0,1
11/07,1,1
11/08,1,1
11/09,1,1
11/10,0,1
11/11,1,1
11/12,1,1
11/13,0,1
11/14,0,1
11/15,0,1
11/16,0,1
11/17,1,1
11/18,1,1
11/19,0,1
11/20,0,1
11/21,1,1
11/22,1,1
11/23,1,1
11/24,0,1
11/25,1,1
11/26,1,1
11/27,0,1
11/28,1,1
11/29,0,1
11/30,0,1
12/01,1,1
12/02,1,1
12/03,1,1
12/04,1,1
12/05,1,1
12/06,1,1
12/07,1,1
12/08,1,1
12/09,1,1
12/10,1,1
12/11,1,1
12/12,1,1
12/13,1,1
12/14,1,1
12/15,0,1
12/16,0,1
12/17,0,1
12/18,0,1
12/19,1,1
12/20,1,1
12/21,1,0
12/22,1,1
12/23,1,1
12/24,0,1
12/25,0,1
12/26,0,1
12/27,0,1
12/28,0,1
12/29,1,1
12/30,1,0
12/31,1,1
01/01,0,1
01/02,0,1
01/03,0,1
01/04,0,1
01/05,0,1
01/06,0,1
01/07,0,1
01/08,0,1
01/09,0,1
01/10,0,1
01/11,0,1
01/12,0,1
01/13,1,0
01/14,1,0
01/15,1,1
01/16,0,1
01/17,0,1
01/18,0,1
01/19,0,1
01/20,1,1
01/21,1,1
01/22,1,1
01/23,0,1
01/24,0,1
01/25,0,1
01/26,0,1
01/27,0,1
01/28,0,1
01/29,0,1
01/30,0,1
01/31,0,1
02/01,0,1
02/02,0,1
02/03,0,1
02/04,0,1
02/05,0,1
02/06,0,1
02/07,0,1
02/08,0,1
02/09,0,1
02/10,0,1
02/11,0,1
02/12,0,1
02/13,0,1
02/14,0,1
02/15,1,1
02/16,0,1
02/17,1,1
02/18,0,1
02/19,0,1
02/20,0,1
02/21,0,1
02/22,0,1
02/23,0,1
02/24,0,1
02/25,1,1
02/26,1,1
02/27,1,1
02/28,1,1
02/29,1,1
03/01,1,1
03/02,0,1
03/03,0,1
03/04,0,1
03/05,0,1
03/06,0,1
03/07,0,1
03/08,0,1
03/09,0,1
03/10,0,1
03/11,0,1
03/12,0,1
03/13,0,1
03/14,0,1
03/15,1,1
03/16,0,1
03/17,0,1
03/18,0,1
03/19,0,1
03/20,1,1
