Date,Weekday,7AM Census,Total Encounters,Admissions,Discharges ,Encounters 
9/1/15,Tue,166,183,25,39,183
9/2/15,Wed,161,171,31,40,171
9/3/15,Thu,150,172,43,45,172
9/4/15,Fri,139,166,39,31,166
9/5/15,Sat,135,162,29,27,164
9/6/15,Sun,138,165,30,31,165
9/7/15,Mon,155,175,40,26,177
9/8/15,Tue,166,180,35,31,179
9/9/15,Wed,159,183,36,41,183
9/10/15,Thu,155,171,34,29,171
9/11/15,Fri,155,169,33,34,170
9/12/15,Sat,142,163,26,22,164
9/13/15,Sun,151,164,22,15,161
9/14/15,Mon,151,169,29,32,169
9/15/15,Tue,152,175,33,29,174
9/16/15,Wed,155,171,30,49,173
9/17/15,Thu,132,152,29,34,153
9/18/15,Fri,129,150,31,30,151
9/19/15,Sat,125,157,34,29,157
9/20/15,Sun,151,165,36,18,165
9/21/15,Mon,155,170,25,33,171
9/22/15,Tue,149,179,39,38,179
9/23/15,Wed,145,165,25,39,163
9/24/15,Thu,133,152,29,29,155
9/25/15,Fri,136,161,35,31,160
9/26/15,Sat,151,165,34,19,165
9/27/15,Sun,165,184,32,14,178
9/28/15,Mon,179,200,36,42,194
9/29/15,Tue,168,194,37,39,190
9/30/15,Wed,160,180,29,46,179
10/1/15,Thu,140,164,28,38,163
10/2/15,Fri,130,150,32,34,150
10/3/15,Sat,121,148,34,30,147
10/4/15,Sun,137,151,33,19,151
10/5/15,Mon,144,171,37,37,171
10/6/15,Tue,139,162,29,20,162
10/7/15,Wed,154,171,27,29,171
10/8/15,Thu,147,173,34,26,173
10/9/15,Fri,151,178,33,40,178
10/10/15,Sat,143,167,33,19,167
10/11/15,Sun,171,178,30,17,178
10/12/15,Mon,175,200,33,42,200
10/13/15,Tue,174,193,34,46,192
10/14/15,Wed,159,180,33,44,181
10/15/15,Thu,150,176,36,36,170
10/16/15,Fri,150,167,31,32,166
10/17/15,Sat,159,183,42,23,177
10/18/15,Sun,171,187,30,21,183
10/19/15,Mon,173,195,32,40,193
10/20/15,Tue,164,184,27,46,180
10/21/15,Wed,141,169,34,34,170
10/22/15,Thu,143,164,29,30,162
10/23/15,Fri,144,171,37,38,169
10/24/15,Sat,136,165,33,28,163
10/25/15,Sun,135,158,23,24,160
10/26/15,Mon,146,160,25,27,156
10/27/15,Tue,141,162,28,39,159
10/28/15,Wed,131,154,34,32,152
10/29/15,Thu,135,155,35,32,154
10/30/15,Fri,131,152,33,34,153
10/31/15,Sat,131,142,28,26,142
11/1/15,Sun,133,142,27,20,142
11/2/15,Mon,138,161,36,25,159
11/3/15,Tue,151,173,34,34,173
11/4/15,Wed,143,170,36,29,170
11/5/15,Thu,150,172,32,33,172
11/6/15,Fri,156,181,40,23,181
11/7/15,Sat,158,182,26,24,182
11/8/15,Sun,173,190,32,17,190
11/9/15,Mon,180,204,34,47,204
11/10/15,Tue,165,185,28,37,184
11/11/15,Wed,161,184,35,43,184
11/12/15,Thu,151,179,38,40,179
11/13/15,Fri,134,168,36,44,168
11/14/15,Sat,138,160,35,25,160
11/15/15,Sun,140,163,28,15,161
11/16/15,Mon,145,168,32,40,168
11/17/15,Tue,154,174,46,23,173
11/18/15,Wed,159,188,40,32,187
11/19/15,Thu,163,194,41,28,191
11/20/15,Fri,151,198,37,45,199
11/21/15,Sat,148,180,28,34,180
11/22/15,Sun,152,168,22,19,170
11/23/15,Mon,161,182,38,39,185
11/24/15,Tue,161,190,43,35,190
11/25/15,Wed,168,190,37,49,190
11/26/15,Thu,160,166,24,28,166
11/27/15,Fri,160,178,40,33,177
11/28/15,Sat,152,163,24,27,165
11/29/15,Sun,154,178,36,20,177
11/30/15,Mon,166,182,31,37,184
12/1/15,Tue,166,205,54,31,201
12/2/15,Wed,184,206,36,31,203
12/3/15,Thu,182,204,30,38,201
12/4/15,Fri,176,189,28,43,187
12/5/15,Sat,158,176,31,24,174
12/6/15,Sun,169,183,31,17,182
12/7/15,Mon,172,190,32,25,187
12/8/15,Tue,179,195,34,30,193
12/9/15,Wed,187,209,47,46,207
12/10/15,Thu,173,196,36,45,195
12/11/15,Fri,168,185,34,46,182
12/12/15,Sat,156,174,40,29,172
12/13/15,Sun,163,178,33,25,176
12/14/15,Mon,169,191,39,38,189
12/15/15,Tue,167,192,35,29,188
12/16/15,Wed,169,199,38,40,197
12/17/15,Thu,170,191,35,39,188
12/18/15,Fri,172,182,36,37,182
12/19/15,Sat,172,190,43,21,190
12/20/15,Sun,180,200,31,22,200
12/21/15,Mon,169,216,39,42,215
12/22/15,Tue,180,198,27,47,197
12/23/15,Wed,171,184,34,39,187
12/24/15,Thu,156,168,24,47,173
12/25/15,Fri,150,149,26,14,150
12/26/15,Sat,163,172,36,29,171
12/27/15,Sun,180,187,41,16,184
12/28/15,Mon,178,197,34,39,199
12/29/15,Tue,173,205,41,29,201
12/30/15,Wed,186,203,31,38,205
12/31/15,Thu,178,200,33,33,200
1/1/16,Fri,170,183,19,37,184
1/2/16,Sat,167,170,25,20,170
1/3/16,Sun,172,188,40,20,190
1/4/16,Mon,172,184,18,36,184
1/5/16,Tue,157,180,32,40,180
1/6/16,Wed,150,173,32,30,173
1/7/16,Thu,153,174,34,30,174
1/8/16,Fri,156,174,32,38,174
1/9/16,Sat,155,163,29,22,163
1/10/16,Sun,169,178,36,15,178
1/11/16,Mon,176,191,29,33,190
1/12/16,Tue,167,195,35,29,195
1/13/16,Wed,178,201,36,33,201
1/14/16,Thu,177,192,25,43,192
1/15/16,Fri,153,178,29,40,178
1/16/16,Sat,156,179,39,27,179
1/17/16,Sun,163,177,27,24,176
1/18/16,Mon,163,184,37,25,187
1/19/16,Tue,176,195,33,36,194
1/20/16,Wed,168,188,32,35,187
1/21/16,Thu,164,194,39,44,192
1/22/16,Fri,138,178,32,46,178
1/23/16,Sat,136,156,26,29,156
1/24/16,Sun,144,154,26,20,154
1/25/16,Mon,143,161,31,39,164
1/26/16,Tue,144,158,37,18,159
1/27/16,Wed,143,169,29,38,169
1/28/16,Thu,146,157,23,32,156
1/29/16,Fri,135,155,34,32,155
1/30/16,Sat,136,157,33,28,157
