"","Tomorrow","Today","PriorEnc","PriorAdm","PriorDis"
"1","(140,150]",161,183,25,39
"2","(130,140]",150,171,31,40
"3","(130,140]",139,172,43,45
"4","(130,140]",135,166,39,31
"5","(150,160]",138,164,29,27
"6","(160,170]",155,165,30,31
"7","(150,160]",166,177,40,26
"8","(150,160]",159,179,35,31
"9","(150,160]",155,183,36,41
"10","(140,150]",155,171,34,29
"11","(150,160]",142,170,33,34
"12","(150,160]",151,164,26,22
"13","(150,160]",151,161,22,15
"14","(150,160]",152,169,29,32
"15","(130,140]",155,174,33,29
"18","(150,160]",125,151,31,30
"19","(150,160]",151,157,34,29
"20","(140,150]",155,165,36,18
"21","(140,150]",149,171,25,33
"22","(130,140]",145,179,39,38
"23","(130,140]",133,163,25,39
"24","(150,160]",136,155,29,29
"25","(160,170]",151,160,35,31
"26","(170,180]",165,165,34,19
"27","(160,170]",179,178,32,14
"28","(150,160]",168,194,36,42
"29","(130,140]",160,190,37,39
"32","(130,140]",121,150,32,34
"33","(140,150]",137,147,34,30
"34","(130,140]",144,151,33,19
"35","(150,160]",139,171,37,37
"36","(140,150]",154,162,29,20
"37","(150,160]",147,171,27,29
"38","(140,150]",151,173,34,26
"39","(170,180]",143,178,33,40
"40","(170,180]",171,167,33,19
"41","(170,180]",175,178,30,17
"42","(150,160]",174,200,33,42
"43","(140,150]",159,192,34,46
"44","(140,150]",150,181,33,44
"45","(150,160]",150,170,36,36
"46","(170,180]",159,166,31,32
"47","(170,180]",171,177,42,23
"48","(160,170]",173,183,30,21
"49","(140,150]",164,193,32,40
"50","(140,150]",141,180,27,46
"51","(140,150]",143,170,34,34
"52","(130,140]",144,162,29,30
"53","(130,140]",136,169,37,38
"54","(140,150]",135,163,33,28
"55","(140,150]",146,160,23,24
"56","(130,140]",141,156,25,27
"57","(130,140]",131,159,28,39
"58","(130,140]",135,152,34,32
"59","(130,140]",131,154,35,32
"60","(130,140]",131,153,33,34
"61","(130,140]",133,142,28,26
"62","(150,160]",138,142,27,20
"63","(140,150]",151,159,36,25
"64","(140,150]",143,173,34,34
"65","(150,160]",150,170,36,29
"66","(150,160]",156,172,32,33
"67","(170,180]",158,181,40,23
"68","(170,180]",173,182,26,24
"69","(160,170]",180,190,32,17
"70","(160,170]",165,204,34,47
"71","(150,160]",161,184,28,37
"72","(130,140]",151,184,35,43
"73","(130,140]",134,179,38,40
"74","(130,140]",138,168,36,44
"75","(140,150]",140,160,35,25
"76","(150,160]",145,161,28,15
"77","(150,160]",154,168,32,40
"78","(160,170]",159,173,46,23
"79","(150,160]",163,187,40,32
"80","(140,150]",151,191,41,28
"81","(150,160]",148,199,37,45
"82","(160,170]",152,180,28,34
"83","(160,170]",161,170,22,19
"84","(160,170]",161,185,38,39
"85","(150,160]",168,190,43,35
"86","(150,160]",160,190,37,49
"87","(150,160]",160,166,24,28
"88","(150,160]",152,177,40,33
"89","(160,170]",154,165,24,27
"90","(160,170]",166,177,36,20
"91","(180,190]",166,184,31,37
"92","(180,190]",184,201,54,31
"93","(170,180]",182,203,36,31
"94","(150,160]",176,201,30,38
"95","(160,170]",158,187,28,43
"96","(170,180]",169,174,31,24
"97","(170,180]",172,182,31,17
"98","(180,190]",179,187,32,25
"99","(170,180]",187,193,34,30
"100","(160,170]",173,207,47,46
"101","(150,160]",168,195,36,45
"102","(160,170]",156,182,34,46
"103","(160,170]",163,172,40,29
"104","(160,170]",169,176,33,25
"105","(160,170]",167,189,39,38
"106","(160,170]",169,188,35,29
"107","(170,180]",170,197,38,40
"108","(170,180]",172,188,35,39
"109","(170,180]",172,182,36,37
"110","(160,170]",180,190,43,21
"111","(170,180]",169,200,31,22
"112","(170,180]",180,215,39,42
"113","(150,160]",171,197,27,47
"114","(140,150]",156,187,34,39
"115","(160,170]",150,173,24,47
"116","(170,180]",163,150,26,14
"117","(170,180]",180,171,36,29
"118","(170,180]",178,184,41,16
"119","(180,190]",173,199,34,39
"120","(170,180]",186,201,41,29
"121","(160,170]",178,205,31,38
"122","(160,170]",170,200,33,33
"123","(170,180]",167,184,19,37
"124","(170,180]",172,170,25,20
"125","(150,160]",172,190,40,20
"126","(140,150]",157,184,18,36
"127","(150,160]",150,180,32,40
"128","(150,160]",153,173,32,30
"129","(150,160]",156,174,34,30
"130","(160,170]",155,174,32,38
"131","(170,180]",169,163,29,22
"132","(160,170]",176,178,36,15
"133","(170,180]",167,190,29,33
"134","(170,180]",178,195,35,29
"135","(150,160]",177,201,36,33
"136","(150,160]",153,192,25,43
"137","(160,170]",156,178,29,40
"138","(160,170]",163,179,39,27
"139","(170,180]",163,176,27,24
"140","(160,170]",176,187,37,25
"141","(160,170]",168,194,33,36
"142","(130,140]",164,187,32,35
"143","(130,140]",138,192,39,44
"144","(140,150]",136,178,32,46
"145","(140,150]",144,156,26,29
"146","(140,150]",143,154,26,20
"147","(140,150]",144,164,31,39
"148","(140,150]",143,159,37,18
"149","(130,140]",146,169,29,38
"150","(130,140]",135,156,23,32
"151","(130,140]",136,155,34,32
"152","(150,160]",136,157,33,28
