,Date,Weekday,7AM Census,Admissions,Discharges ,Encounters ,Backup,Day 8
0,9/1/15,Tue,166,25,39,183,1,1
1,9/2/15,Wed,161,31,40,171,1,1
2,9/3/15,Thu,150,43,45,172,1,1
3,9/4/15,Fri,139,39,31,166,1,1
4,9/5/15,Sat,135,29,27,164,0,1
5,9/6/15,Sun,138,30,31,165,0,1
6,9/7/15,Mon,155,40,26,177,0,1
7,9/8/15,Tue,166,35,31,179,0,1
8,9/9/15,Wed,159,36,41,183,1,1
9,9/10/15,Thu,155,34,29,171,1,1
10,9/11/15,Fri,155,33,34,170,0,1
11,9/12/15,Sat,142,26,22,164,0,1
12,9/13/15,Sun,151,22,15,161,0,1
13,9/14/15,Mon,151,29,32,169,0,1
14,9/15/15,Tue,152,33,29,174,0,1
15,9/16/15,Wed,155,30,49,173,0,1
16,9/17/15,Thu,132,29,34,153,0,1
17,9/18/15,Fri,129,31,30,151,0,1
18,9/19/15,Sat,125,34,29,157,0,1
19,9/20/15,Sun,151,36,18,165,0,1
20,9/21/15,Mon,155,25,33,171,0,1
21,9/22/15,Tue,149,39,38,179,1,1
22,9/23/15,Wed,145,25,39,163,0,1
23,9/24/15,Thu,133,29,29,155,0,1
24,9/25/15,Fri,136,35,31,160,0,1
25,9/26/15,Sat,151,34,19,165,0,1
26,9/27/15,Sun,165,32,14,178,0,1
27,9/28/15,Mon,179,36,42,194,1,0
28,9/29/15,Tue,168,37,39,190,1,1
29,9/30/15,Wed,160,29,46,179,1,1
30,10/1/15,Thu,140,28,38,163,0,1
31,10/2/15,Fri,130,32,34,150,0,1
32,10/3/15,Sat,121,34,30,147,0,1
33,10/4/15,Sun,137,33,19,151,0,1
34,10/5/15,Mon,144,37,37,171,0,1
35,10/6/15,Tue,139,29,20,162,0,1
36,10/7/15,Wed,154,27,29,171,0,1
37,10/8/15,Thu,147,34,26,173,0,1
38,10/9/15,Fri,151,33,40,178,0,1
39,10/10/15,Sat,143,33,19,167,0,1
40,10/11/15,Sun,171,30,17,178,1,1
41,10/12/15,Mon,175,33,42,200,1,1
42,10/13/15,Tue,174,34,46,192,1,1
43,10/14/15,Wed,159,33,44,181,1,1
44,10/15/15,Thu,150,36,36,170,0,1
45,10/16/15,Fri,150,31,32,166,1,1
46,10/17/15,Sat,159,42,23,177,1,1
47,10/18/15,Sun,171,30,21,183,1,1
48,10/19/15,Mon,173,32,40,193,1,1
49,10/20/15,Tue,164,27,46,180,1,1
50,10/21/15,Wed,141,34,34,170,0,1
51,10/22/15,Thu,143,29,30,162,0,1
52,10/23/15,Fri,144,37,38,169,0,1
53,10/24/15,Sat,136,33,28,163,0,1
54,10/25/15,Sun,135,23,24,160,0,1
55,10/26/15,Mon,146,25,27,156,0,1
56,10/27/15,Tue,141,28,39,159,0,1
57,10/28/15,Wed,131,34,32,152,0,1
58,10/29/15,Thu,135,35,32,154,0,1
59,10/30/15,Fri,131,33,34,153,0,1
60,10/31/15,Sat,131,28,26,142,0,1
61,11/1/15,Sun,133,27,20,142,0,1
62,11/2/15,Mon,138,36,25,159,0,1
63,11/3/15,Tue,151,34,34,173,0,1
64,11/4/15,Wed,143,36,29,170,0,1
65,11/5/15,Thu,150,32,33,172,1,1
66,11/6/15,Fri,156,40,23,181,0,1
67,11/7/15,Sat,158,26,24,182,1,1
68,11/8/15,Sun,173,32,17,190,1,1
69,11/9/15,Mon,180,34,47,204,1,1
70,11/10/15,Tue,165,28,37,184,0,1
71,11/11/15,Wed,161,35,43,184,1,1
72,11/12/15,Thu,151,38,40,179,1,1
73,11/13/15,Fri,134,36,44,168,0,1
74,11/14/15,Sat,138,35,25,160,0,1
75,11/15/15,Sun,140,28,15,161,0,1
76,11/16/15,Mon,145,32,40,168,0,1
77,11/17/15,Tue,154,46,23,173,1,1
78,11/18/15,Wed,159,40,32,187,1,1
79,11/19/15,Thu,163,41,28,191,0,1
80,11/20/15,Fri,151,37,45,199,0,1
81,11/21/15,Sat,148,28,34,180,1,1
82,11/22/15,Sun,152,22,19,170,1,1
83,11/23/15,Mon,161,38,39,185,1,1
84,11/24/15,Tue,161,43,35,190,0,1
85,11/25/15,Wed,168,37,49,190,1,1
86,11/26/15,Thu,160,24,28,166,1,1
87,11/27/15,Fri,160,40,33,177,0,1
88,11/28/15,Sat,152,24,27,165,1,1
89,11/29/15,Sun,154,36,20,177,0,1
90,11/30/15,Mon,166,31,37,184,0,1
91,12/1/15,Tue,166,54,31,201,1,1
92,12/2/15,Wed,184,36,31,203,1,1
93,12/3/15,Thu,182,30,38,201,1,1
94,12/4/15,Fri,176,28,43,187,1,1
95,12/5/15,Sat,158,31,24,174,1,1
96,12/6/15,Sun,169,31,17,182,1,1
97,12/7/15,Mon,172,32,25,187,1,1
98,12/8/15,Tue,179,34,30,193,1,1
99,12/9/15,Wed,187,47,46,207,1,1
100,12/10/15,Thu,173,36,45,195,1,1
101,12/11/15,Fri,168,34,46,182,1,1
102,12/12/15,Sat,156,40,29,172,1,1
103,12/13/15,Sun,163,33,25,176,1,1
104,12/14/15,Mon,169,39,38,189,1,1
105,12/15/15,Tue,167,35,29,188,0,1
106,12/16/15,Wed,169,38,40,197,0,1
107,12/17/15,Thu,170,35,39,188,0,1
108,12/18/15,Fri,172,36,37,182,0,1
109,12/19/15,Sat,172,43,21,190,1,1
110,12/20/15,Sun,180,31,22,200,1,1
111,12/21/15,Mon,169,39,42,215,1,0
112,12/22/15,Tue,180,27,47,197,1,1
113,12/23/15,Wed,171,34,39,187,1,1
114,12/24/15,Thu,156,24,47,173,0,1
115,12/25/15,Fri,150,26,14,150,0,1
116,12/26/15,Sat,163,36,29,171,0,1
117,12/27/15,Sun,180,41,16,184,0,1
118,12/28/15,Mon,178,34,39,199,0,1
119,12/29/15,Tue,173,41,29,201,1,1
120,12/30/15,Wed,186,31,38,205,1,0
121,12/31/15,Thu,178,33,33,200,1,1
122,1/1/16,Fri,170,19,37,184,0,1
123,1/2/16,Sat,167,25,20,170,0,1
124,1/3/16,Sun,172,40,20,190,0,1
125,1/4/16,Mon,172,18,36,184,0,1
126,1/5/16,Tue,157,32,40,180,0,1
127,1/6/16,Wed,150,32,30,173,0,1
128,1/7/16,Thu,153,34,30,174,0,1
129,1/8/16,Fri,156,32,38,174,0,1
130,1/9/16,Sat,155,29,22,163,0,1
131,1/10/16,Sun,169,36,15,178,0,1
132,1/11/16,Mon,176,29,33,190,0,1
133,1/12/16,Tue,167,35,29,195,0,1
134,1/13/16,Wed,178,36,33,201,1,0
135,1/14/16,Thu,177,25,43,192,1,0
136,1/15/16,Fri,153,29,40,178,1,1
137,1/16/16,Sat,156,39,27,179,0,1
138,1/17/16,Sun,163,27,24,176,0,1
139,1/18/16,Mon,163,37,25,187,0,1
140,1/19/16,Tue,176,33,36,194,0,1
141,1/20/16,Wed,168,32,35,187,1,1
142,1/21/16,Thu,164,39,44,192,1,1
143,1/22/16,Fri,138,32,46,178,1,1
144,1/23/16,Sat,136,26,29,156,0,1
145,1/24/16,Sun,144,26,20,154,0,1
146,1/25/16,Mon,143,31,39,164,0,1
147,1/26/16,Tue,144,37,18,159,0,1
148,1/27/16,Wed,143,29,38,169,0,1
149,1/28/16,Thu,146,23,32,156,0,1
150,1/29/16,Fri,135,34,32,155,0,1
151,1/30/16,Sat,136,33,28,157,0,1
152,1/31/16,Sun,136,39,16,169,0,1
153,2/1/16,Mon,159,32,35,180,0,1
154,2/2/16,Tue,158,31,33,175,0,1
155,2/3/16,Wed,157,35,36,176,0,1
156,2/4/16,Thu,148,23,39,162,0,1
157,2/5/16,Fri,139,34,47,157,0,1
158,2/6/16,Sat,125,25,18,134,0,1
159,2/7/16,Sun,141,30,14,144,0,1
160,2/8/16,Mon,144,37,33,166,0,1
161,2/9/16,Tue,145,38,21,172,0,1
162,2/10/16,Wed,160,41,42,187,0,1
163,2/11/16,Thu,157,37,32,181,0,1
164,2/12/16,Fri,162,31,40,179,0,1
165,2/13/16,Sat,150,27,25,164,0,1
166,2/14/16,Sun,159,34,18,173,0,1
167,2/15/16,Mon,165,32,40,183,1,1
168,2/16/16,Tue,160,41,33,183,0,1
169,2/17/16,Wed,162,46,30,188,1,1
